Time session Start; Time Session finish; Session Length; Session Playtime; Total Playtime
2024-12-03 15:48:02; 2024-12-03 15:57:44; 00:09:42; 00:09:26; 00:09:26
2024-12-03 20:37:15; 2024-12-03 21:10:38; 00:33:23; 00:06:43; 00:16:09
2024-12-03 21:25:48; 2024-12-04 00:36:01; 03:10:13; 00:58:20; 01:14:29
2024-12-04 19:16:39; 2024-12-04 20:48:00; 01:31:21; 00:54:07; 02:08:36
2024-12-04 23:07:05; 2024-12-05 00:32:17; 01:25:12; 00:43:09; 02:51:45
2024-12-05 21:14:57; 2024-12-06 02:12:07; 04:57:10; 02:11:36; 05:03:21
2024-12-06 13:22:45; 2024-12-06 15:11:39; 01:48:54; 01:00:02; 06:03:23
2024-12-10 02:49:51; 2024-12-10 11:50:22; 09:00:31; 01:20:53; 07:24:16
2024-12-10 12:30:35; 2024-12-10 13:14:59; 00:44:24; 00:27:58; 07:52:14
2024-12-11 19:03:28; 2024-12-11 21:01:51; 01:58:23; 00:53:59; 08:46:13
2024-12-12 02:29:50; 2024-12-12 04:34:56; 02:05:06; 01:06:58; 09:53:11
2024-12-12 15:11:10; 2024-12-12 16:24:49; 01:13:39; 00:47:49; 10:41:00
2024-12-12 22:18:22; 2024-12-12 23:59:41; 01:41:19; 00:34:44; 11:15:44
2024-12-14 02:29:30; 2024-12-14 04:35:38; 02:06:08; 00:51:13; 12:06:57
2024-12-16 03:08:13; 2024-12-16 05:09:35; 02:01:22; 01:45:09; 13:52:06
2024-12-16 20:20:25; 2024-12-16 21:05:29; 00:45:04; 00:29:13; 14:21:19
2024-12-17 01:47:11; 2024-12-17 03:38:51; 01:51:40; 01:16:00; 15:37:19
2024-12-17 13:39:47; 2024-12-17 13:59:05; 00:19:18; 00:12:17; 15:49:36
